Category,Title,Review Count,Lesson Count,Price,Stars,Text For Embedding
All Courses,Frameworks for Effective Problem Solving,0,18 Lessons,Free,0,All Courses | Frameworks for Effective Problem Solving | 18 Lessons | Free
All Courses,Anyone can Build AI Agents - Free Course,1,5 Lessons,Free,1,All Courses | Anyone can Build AI Agents - Free Course | 5 Lessons | Free
All Courses,A Comprehensive Learning Path to Become a Data Analyst in 2025,0,298 Lessons,Free,0,All Courses | A Comprehensive Learning Path to Become a Data Analyst in 2025 | 298 Lessons | Free
All Courses,Reimagining GenAI: Common Mistakes and Best Practices for Success,0,6 Lessons,Free,0,All Courses | Reimagining GenAI: Common Mistakes and Best Practices for Success | 6 Lessons | Free
All Courses,Coding a ChatGPT-style Language Model from Scratch in PyTorch,5,7 Lessons,Free,5,All Courses | Coding a ChatGPT-style Language Model from Scratch in PyTorch | 7 Lessons | Free
All Courses,Mastering Multilingual GenAI Open-Weights for Indic Languages,0,9 Lessons,Free,0,All Courses | Mastering Multilingual GenAI Open-Weights for Indic Languages | 9 Lessons | Free
All Courses,Learning Autonomous Driving Behaviors with LLMs & RL,1,6 Lessons,Free,1,All Courses | Learning Autonomous Driving Behaviors with LLMs & RL | 6 Lessons | Free
All Courses,GenAI Applied to Quantitative Finance: For Control Implementation,1,5 Lessons,Free,1,All Courses | GenAI Applied to Quantitative Finance: For Control Implementation | 5 Lessons | Free
All Courses,"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",0,6 Lessons,Free,0,"All Courses | Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy | 6 Lessons | Free"
All Courses,Creating Problem-Solving Agents using GenAI for Action Composition,2,6 Lessons,Free,2,All Courses | Creating Problem-Solving Agents using GenAI for Action Composition | 6 Lessons | Free
All Courses,Improving Real World RAG Systems: Key Challenges & Practical Solutions,12,12 Lessons,Free,12,All Courses | Improving Real World RAG Systems: Key Challenges & Practical Solutions | 12 Lessons | Free
All Courses,Framework to Choose the Right LLM for your Business,4,6 Lessons,Free,4,All Courses | Framework to Choose the Right LLM for your Business | 6 Lessons | Free
All Courses,Building Smarter LLMs with Mamba and State Space Model,0,14 Lessons,Free,0,All Courses | Building Smarter LLMs with Mamba and State Space Model | 14 Lessons | Free
All Courses,Generative AI - A Way of Life - Free Course,22,31 Lessons,Free,22,All Courses | Generative AI - A Way of Life - Free Course | 31 Lessons | Free
All Courses,Building LLM Applications using Prompt Engineering - Free Course,11,18 Lessons,Free,11,All Courses | Building LLM Applications using Prompt Engineering - Free Course | 18 Lessons | Free
All Courses,Building Your First Computer Vision Model - Free Course,2,7 Lessons,Free,2,All Courses | Building Your First Computer Vision Model - Free Course | 7 Lessons | Free
All Courses,Bagging and Boosting ML Algorithms - Free Course,0,16 Lessons,Free,0,All Courses | Bagging and Boosting ML Algorithms - Free Course | 16 Lessons | Free
All Courses,MidJourney: From Inspiration to Implementation - Free Course,2,5 Lessons,Free,2,All Courses | MidJourney: From Inspiration to Implementation - Free Course | 5 Lessons | Free
All Courses,Understanding Linear Regression - Free Course,4,10 Lessons,Free,4,All Courses | Understanding Linear Regression - Free Course | 10 Lessons | Free
All Courses,The Working of Neural Networks - Free Course,0,11 Lessons,Free,0,All Courses | The Working of Neural Networks - Free Course | 11 Lessons | Free
All Courses,The A to Z of Unsupervised ML - Free Course,0,13 Lessons,Free,0,All Courses | The A to Z of Unsupervised ML - Free Course | 13 Lessons | Free
All Courses,Building Your first RAG System using LlamaIndex - Free Course,16,12 Lessons,Free,16,All Courses | Building Your first RAG System using LlamaIndex - Free Course | 12 Lessons | Free
All Courses,Data Preprocessing on a Real-World Problem Statement - Free Course,3,13 Lessons,Free,3,All Courses | Data Preprocessing on a Real-World Problem Statement - Free Course | 13 Lessons | Free
All Courses,Exploring Stability.AI - Free Course,2,7 Lessons,Free,2,All Courses | Exploring Stability.AI - Free Course | 7 Lessons | Free
All Courses,Building a Text Classification Model with Natural Language Processing - Free Course,1,16 Lessons,Free,1,All Courses | Building a Text Classification Model with Natural Language Processing - Free Course | 16 Lessons | Free
All Courses,Getting Started with Large Language Models,27,18 Lessons,Free,27,All Courses | Getting Started with Large Language Models | 18 Lessons | Free
All Courses,Introduction to Generative  AI,77,9 Lessons,Free,77,All Courses | Introduction to Generative  AI | 9 Lessons | Free
All Courses,Exploring Natural Language Processing (NLP) using Deep Learning,1,79 Lessons,Free,1,All Courses | Exploring Natural Language Processing (NLP) using Deep Learning | 79 Lessons | Free
All Courses,Getting Started with Deep Learning,4,299 Lessons,Free,4,All Courses | Getting Started with Deep Learning | 299 Lessons | Free
All Courses,Nano Course: Dreambooth-Stable Diffusion for Custom Images,1,13 Lessons,Free,1,All Courses | Nano Course: Dreambooth-Stable Diffusion for Custom Images | 13 Lessons | Free
